,shot_number,x_coord,y_coord,time,weapon,x_normalized,y_normalized,time_normalized,delta_x,delta_y,delta_time,V,H
217,218,11,271,3.215853333333333,AKM,10,136,3.174624444444444,-13.0,262.0,0.04122888888888854,6354.76742305832,-315.3128874036571
218,219,31,208,3.2570822222222224,AKM,30,73,3.2158533333333335,20.0,-63.0,0.041228888888889426,-1528.0547620330744,485.0967498517697
221,222,43,193,3.2983111111111114,AKM,42,58,3.2570822222222224,-95.0,189.0,0.04122888888888898,4584.164286099272,-2304.2095617959308
226,227,3,242,3.380768888888889,AKM,2,107,3.33954,-38.0,88.0,0.04122888888888898,2134.4256993478098,-921.6838247183723
236,237,39,318,3.421997777777778,AKM,38,183,3.380768888888889,-14.0,80.0,0.04122888888888898,1940.3869994070997,-339.56772489624245
242,243,7,376,3.463226666666667,AKM,6,241,3.421997777777778,6.0,140.0,0.04122888888888898,3395.6772489624245,145.52902495553246
245,246,1,324,3.504455555555556,AKM,0,189,3.463226666666667,-7.0,-24.0,0.04122888888888898,-582.1160998221299,-169.78386244812123
250,251,29,187,3.5456844444444444,AKM,28,52,3.5044555555555554,-11.0,123.0,0.04122888888888854,2983.345011588448,-266.80321241847906
256,257,23,314,3.6281422222222224,AKM,22,179,3.5869133333333334,-14.0,65.0,0.04122888888888898,1576.5644370182683,-339.56772489624245
262,263,8,330,3.669371111111112,AKM,7,195,3.628142222222223,1.0,40.0,0.041228888888889426,970.1934997035394,24.254837492588482
268,269,12,318,3.7106,AKM,11,183,3.669371111111111,-1.0,23.0,0.04122888888888809,557.8612623295531,-24.254837492589267
289,290,865,570,4.040431111111111,AKM,864,435,3.9992022222222223,846.0,296.0,0.24737333333333344,1196.5719829677137,3419.932086455019
290,291,875,571,4.122888888888889,AKM,874,436,4.08166,10.0,1.0,0.08245777777777796,12.127418746294373,121.27418746294373
293,294,992,571,4.205346666666667,AKM,991,436,4.164117777777778,96.0,7.0,0.08245777777777796,84.89193122406061,1164.2321996442597
294,295,997,566,4.287804444444444,AKM,996,431,4.246575555555555,5.0,-5.0,0.08245777777777707,-60.63709373147252,60.63709373147252
296,297,914,572,4.370262222222222,AKM,913,437,4.329033333333333,-54.0,-1.0,0.08245777777777796,-12.127418746294373,-654.8806122998961
301,302,925,571,4.45272,AKM,924,436,4.411491111111111,-6.0,4.0,0.08245777777777796,48.50967498517749,-72.76451247776623
302,303,816,538,4.535177777777778,AKM,815,403,4.493948888888889,-109.0,-33.0,0.08245777777777796,-400.2048186277143,-1321.8886433460866
303,304,815,548,4.617635555555556,AKM,814,413,4.576406666666667,-1.0,10.0,0.08245777777777796,121.27418746294373,-12.127418746294373
304,305,842,569,5.19484,AKM,841,434,5.153611111111111,27.0,21.0,0.577204444444444,36.38225623888323,46.777186592849866
305,306,871,550,5.277297777777778,AKM,870,415,5.236068888888889,29.0,-19.0,0.08245777777777796,-230.42095617959308,351.6951436425368
307,308,881,533,5.318526666666667,AKM,880,398,5.277297777777778,-7.0,-40.0,0.04122888888888898,-970.1934997035498,-169.78386244812123
308,309,988,549,5.400984444444445,AKM,987,414,5.359755555555556,107.0,16.0,0.08245777777777796,194.03869994070996,1297.633805853498
309,310,963,567,5.442213333333334,AKM,962,432,5.400984444444445,-25.0,18.0,0.04122888888888898,436.5870748665974,-606.3709373147186
311,312,993,527,5.483442222222222,AKM,992,392,5.442213333333333,2.0,-13.0,0.04122888888888809,-315.31288740366045,48.509674985178535
313,314,967,547,5.524671111111111,AKM,966,412,5.483442222222222,1.0,-8.0,0.04122888888888898,-194.03869994070996,24.254837492588745
316,317,961,532,5.689586666666667,AKM,960,397,5.648357777777778,-18.0,-33.0,0.16491555555555593,-200.10240931385715,-109.14676871664935
317,318,1011,529,5.730815555555556,AKM,1010,394,5.689586666666667,50.0,-3.0,0.04122888888888898,-72.76451247776623,1212.7418746294372
319,320,968,563,5.813273333333334,AKM,967,428,5.772044444444445,3.0,26.0,0.08245777777777796,315.3128874036537,36.382256238883116
323,324,906,570,5.854502222222223,AKM,905,435,5.813273333333334,-78.0,-2.0,0.04122888888888898,-48.50967498517749,-1891.8773244219221
324,325,973,516,5.895731111111111,AKM,972,381,5.854502222222222,67.0,-54.0,0.04122888888888809,-1309.7612245998205,1625.0741120034809
